country;1995-1999;2000-2004;2005-2009;2010-2014
Afghanistan;51,04;52,44;54,7;57,12
Albania;73,92;74,54;75,4;76,92
Algeria;72,94;74,4;75,86;76,82
Andorra;80,94;82,16;82,62;82,62
Angola;52,54;54,46;57,84;61,7
Antigua and Barbuda;74,7;75,26;76,36;77,02
Argentina;73,5;74,52;75,4;76,1
Armenia;70,2;72,32;72,74;74,36
Australia;78,82;80,24;81,44;82,32
Austria;77,26;78,68;79,96;80,9
Azerbaijan;65,54;67,2;68,22;70,34
Bahamas;70,84;71,86;73,48;73,76
Bahrain;71,12;72,52;74,58;76,36
Bangladesh;63,46;66,54;69;71,26
Barbados;74,3;75,44;76,24;76,74
Belarus;68,22;68,42;69,74;71,66
Belgium;77,28;78,26;79,48;80,38
Belize;69,98;69,18;70,6;71,6
Benin;56,84;58,24;60,38;62,6
Bhutan;64,46;67,68;70,68;72,84
Bolivia;65,64;68,76;70,72;72,18
Bosnia and Herz.;72,68;75,24;76,12;77,02
Botswana;52,04;45,82;51,22;60,52
Brazil;70,4;72,08;73,52;74,64
Brunei;75,12;76,46;76,84;76,96
Bulgaria;71,02;72,24;73,1;74,56
Burkina Faso;51,04;53,22;56,24;58,88
Burundi;47,14;49,94;55,24;58,7
Cambodia;58,62;60,72;64,42;67,1
Cameroon;55,58;54,5;55,76;58,26
Canada;78,5;79,6;80,62;81,58
Cape Verde;68,64;70,3;71,62;72,86
Central African Republic;45,3;44,56;45,86;48,1
Chad;52,8;52,62;54,8;57,58
Chile;76,14;77,66;78,88;79,6
China;69,02;70,84;73,4;75,34
Colombia;72,58;73,84;75,64;77,26
Comoros;60,2;62,82;64,74;66,24
Congo, Dem. Rep.;52,48;53,94;56,16;58,68
Congo, Rep.;50,78;54,34;58,08;61,48
Costa Rica;77,34;78,54;79,88;80,6
Cote d'Ivoire;52,8;52,92;54,68;57,46
Croatia;73,1;74,42;75,58;76,82
Cuba;75,74;77,08;77,96;78,6
Cyprus;76,2;77,44;78,92;80,36
Czech Republic;74,06;75,42;76,76;78,04
Denmark;76,16;77,32;78,62;80,1
Djibouti;61,36;61,58;62,52;64,64
Dominica;71,98;73,1;73,42;72,86
Dominican Republic;72,5;73,38;73,92;74,92
Ecuador;73,42;74,82;76,04;77,24
Egypt;68,52;69,88;70,4;71,14
El Salvador;71,04;72,5;73,5;74,46
Equatorial Guinea;50,44;56,54;59,32;62,6
Eritrea;55,92;59,54;61;62,32
Estonia;69,64;71,42;73,66;76,56
Ethiopia;50,8;53,58;58,24;63,02
Fiji;64,32;64,6;64,92;65,44
Finland;77;78,26;79,34;80,58
France;78,52;79,54;80,78;81,82
Gabon;59,54;59,16;61,04;64
Gambia;62,96;63,74;64,66;66,2
Georgia;71,16;71,76;72,44;73,14
Germany;77,02;78,4;79,58;80,42
Ghana;59,36;59,44;60,88;63,6
Greece;78,12;79,08;80;80,64
Grenada;71,34;70,98;71,28;71,3
Guatemala;67,5;69,2;70,46;71,8
Guinea;53,98;55,18;56,8;58,8
Guinea-Bissau;50,92;52,82;54,16;56,66
Guyana;65,3;65,24;65,1;66,04
Haiti;55,74;57,12;58,92;56
Honduras;67,74;69,9;71,06;71,94
Hungary;70,82;72,42;73,62;75,14
Iceland;79,14;80,46;81,56;82,16
India;61,36;63,08;65;67
Indonesia;66,46;67,46;69,08;70,5
Iran;71,18;71,46;73,36;74,9
Iraq;65,46;65,86;65,22;67,5
Ireland;76,1;77,62;79,5;80,76
Israel;77,6;78,78;80,22;81,66
Italy;78,62;80,04;81,18;81,96
Jamaica;74;73,94;74,7;74,82
Japan;80,24;81,44;82,34;83,12
Jordan;72,82;73,12;74,28;76,26
Kazakhstan;64,26;64,8;66,12;69,76
Kenya;56,06;55,8;59,56;64,44
Kiribati;59,08;59,78;60,4;61,02
Kuwait;75,92;76,84;77,16;79,2
Kyrgyz Republic;65,24;66,6;67,1;69,6
Lao;55,5;58,34;61,66;65,12
Latvia;68,64;70,4;71,34;73,88
Lebanon;74,7;77,32;78,72;79,8
Lesotho;54,58;46,16;43,96;47,72
Liberia;51,64;55,44;59,24;61,28
Libya;74,3;74,7;75,56;72,6
Lithuania;70,68;71,92;71,62;73,86
Luxembourg;77,34;78,9;80,64;81,66
Macedonia, FYR;71,58;72,46;73,3;74,22
Madagascar;57,52;59,1;60,54;61,4
Malawi;45,08;45,66;49,6;55,94
Malaysia;72,66;73,4;74,16;74,76
Maldives;69,66;73,3;76,9;78,52
Mali;51,86;54,54;57,74;60,24
Malta;77,3;78,14;79,56;80,72
Marshall Islands;64,12;63,3;63,24;64,1
Mauritania;62,32;64,5;66,84;68,94
Mauritius;70,86;71,84;72,78;73,94
Mexico;73,48;74,9;75,46;75,78
Micronesia, Fed. Sts.;64,64;65,22;65,58;65,5
Moldova;66,42;68,42;69,22;71,5
Mongolia;61,86;63,3;65,02;67,08
Montenegro;73,74;74,26;75,62;76,56
Morocco;69,8;71,44;72,74;74,06
Mozambique;51,26;51,86;53,12;55,9
Myanmar;60,18;62,02;63,78;67,96
Namibia;57,58;52,26;54,2;61,36
Nepal;61,92;64,64;66,9;69,16
Netherlands;77,76;78,5;80,02;81,1
New Zealand;77,56;78,98;80,18;81,22
Nicaragua;74;75,98;77,02;77,56
Niger;50,4;53,48;56,88;59,8
Nigeria;54,66;55,36;58,28;61,86
North Korea;63,96;66;69,88;70,3
Norway;78,26;79,2;80,5;81,48
Oman;73,62;75,04;76,18;76,66
Pakistan;62,2;62,96;64,14;66,12
Palestine;72,02;71,46;71,96;71,86
Panama;75,96;77,18;77,58;78,06
Papua New Guinea;57,18;57,6;57,98;59,38
Paraguay;74,5;74,24;74,08;74,14
Peru;72,62;75,82;77,62;78,54
Philippines;68,32;68,22;68,52;69,34
Poland;72,58;74,5;75,46;76,8
Portugal;75,78;77,32;79;80,28
Qatar;74,98;75,8;77,9;80,14
Romania;69,8;71,46;72,98;74,48
Russia;66,16;65,6;67,5;70,18
Rwanda;46,08;52,5;60,82;65,86
Samoa;70,06;70,76;70,92;71,52
Sao Tome and Principe;63,82;65,34;67,26;69,44
Saudi Arabia;72,84;73,3;74,4;75,74
Senegal;58,78;60,44;62,66;64,76
Serbia;71,42;72,54;73,86;75,08
Seychelles;70,64;71,48;72,7;73,56
Sierra Leone;50,04;51,48;53,34;55,68
Singapore;78,14;80,08;81,62;83,08
Slovak Republic;72,74;73,72;74,62;76,16
Slovenia;75;76,48;78,28;80,06
Solomon Islands;61,28;61,22;61,18;62,14
Somalia;51,44;52,76;54,36;55,18
South Africa;61,04;53,26;51,74;57,48
South Korea;74,96;76,82;79,14;80,58
South Sudan;53,5;55,22;57,1;58,38
Spain;78,66;79,82;81,06;82,36
Sri Lanka;72,26;72,66;74,22;76,04
St. Lucia;73,74;74,06;74,86;75,98
St. Vincent and the Grenadines;70,44;70,62;71,44;71,54
Sudan;61,12;63,48;65,54;66,84
Suriname;70,24;69,4;69,76;70,66
Swaziland;54,76;44,62;43,84;50,44
Sweden;79,22;79,96;80,9;81,8
Switzerland;79,14;80,34;81,6;82,6
Syria;72,52;73,98;75,32;71,18
Tajikistan;64,1;65,94;68,38;70,5
Tanzania;52,62;53,84;56,98;60,86
Thailand;71,22;72,78;75,12;77,1
Timor-Leste;60,48;64,84;69,06;71,9
Togo;56,64;56,22;57,18;60,22
Tonga;68,58;69;69,3;70,04
Trinidad and Tobago;69,38;70,18;71,98;72,8
Tunisia;73,92;75,42;76,4;77,1
Turkey;71,76;75,22;77,8;78,44
Turkmenistan;63,12;64,3;66,34;68,78
Uganda;47,46;50,2;54,38;58,74
Ukraine;67,34;67,66;68,1;71,12
United Arab Emirates;74;75,46;76,72;76,44
United Kingdom;77,06;78,26;79,56;80,6
United States;76,44;77,16;78,12;78,84
Uruguay;73,94;75;75,92;76,6
Uzbekistan;66,12;66,46;67,56;69,3
Vanuatu;62,02;62,32;62,54;63,3
Venezuela;73,06;74,42;75;75,4
Vietnam;70;71,1;72,28;73,58
Yemen;61,28;63,54;65,94;67,98
Zambia;45,24;44,46;48,12;54,48
Zimbabwe;50,72;45,78;46,32;53,64
